# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        V        u        v        b        y     Hb_w     Hb_n
 246     5500  1.50   -0.080   -2.539   -1.186   -0.515   -0.063   -0.282    2.828
 247     5500  2.00   -0.090   -2.426   -1.184   -0.523   -0.073   -0.292    2.821
 248     5500  2.50   -0.099   -2.334   -1.188   -0.531   -0.082   -0.301    2.814
 249     5500  3.00   -0.106   -2.264   -1.196   -0.537   -0.089   -0.309    2.809
 250     5500  3.50   -0.111   -2.214   -1.205   -0.541   -0.093   -0.314    2.807
 251     5500  4.00   -0.114   -2.186   -1.218   -0.542   -0.095   -0.316    2.808
 252     5500  4.50   -0.114   -2.180   -1.232   -0.539   -0.093   -0.314    2.812
 253     5500  5.00   -0.113   -2.194   -1.246   -0.533   -0.090   -0.311    2.818
 254     5750  0.00    0.012   -2.783   -0.977   -0.363    0.030   -0.149    2.949
 255     5750  0.50   -0.003   -2.648   -0.978   -0.378    0.015   -0.167    2.932
 256     5750  1.00   -0.017   -2.508   -0.979   -0.393    0.000   -0.183    2.917
 257     5750  1.50   -0.031   -2.376   -0.984   -0.409   -0.014   -0.199    2.903
 258     5750  2.00   -0.044   -2.259   -0.994   -0.424   -0.027   -0.215    2.890
 259     5750  2.50   -0.056   -2.159   -1.008   -0.440   -0.039   -0.230    2.878
 260     5750  3.00   -0.067   -2.078   -1.025   -0.452   -0.049   -0.242    2.869
 261     5750  3.50   -0.075   -2.015   -1.042   -0.462   -0.057   -0.251    2.863
 262     5750  4.00   -0.079   -1.972   -1.059   -0.468   -0.061   -0.256    2.860
 263     5750  4.50   -0.081   -1.950   -1.076   -0.469   -0.061   -0.258    2.862
 264     5750  5.00   -0.079   -1.949   -1.093   -0.466   -0.058   -0.256    2.866
 265     6000  0.00    0.055   -2.648   -0.754   -0.248    0.073   -0.064    3.025
 266     6000  0.50    0.041   -2.532   -0.779   -0.272    0.059   -0.085    3.003
 267     6000  1.00    0.026   -2.403   -0.796   -0.294    0.043   -0.107    2.982
 268     6000  1.50    0.010   -2.275   -0.813   -0.316    0.027   -0.129    2.962
 269     6000  2.00   -0.006   -2.155   -0.834   -0.338    0.011   -0.150    2.944
 270     6000  2.50   -0.022   -2.047   -0.857   -0.360   -0.005   -0.170    2.927
