# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        I        J        H       Ks
 431    10750  3.00   -0.492   -0.562   -0.574   -0.595
 432    10750  3.50   -0.495   -0.562   -0.578   -0.597
 433    10750  4.00   -0.494   -0.560   -0.580   -0.596
 434    10750  4.50   -0.489   -0.557   -0.580   -0.593
 435    10750  5.00   -0.481   -0.553   -0.577   -0.590
 436    11000  2.00   -0.535   -0.628   -0.635   -0.659
 437    11000  2.50   -0.543   -0.628   -0.640   -0.665
 438    11000  3.00   -0.549   -0.630   -0.646   -0.669
 439    11000  3.50   -0.553   -0.631   -0.650   -0.671
 440    11000  4.00   -0.553   -0.631   -0.653   -0.671
 441    11000  4.50   -0.549   -0.628   -0.654   -0.669
 442    11000  5.00   -0.542   -0.624   -0.652   -0.666
 443    11250  2.00   -0.591   -0.695   -0.704   -0.730
 444    11250  2.50   -0.599   -0.695   -0.709   -0.736
 445    11250  3.00   -0.606   -0.697   -0.716   -0.741
 446    11250  3.50   -0.610   -0.699   -0.721   -0.744
 447    11250  4.00   -0.612   -0.699   -0.725   -0.745
 448    11250  4.50   -0.609   -0.698   -0.726   -0.744
 449    11250  5.00   -0.602   -0.695   -0.724   -0.741
 450    11500  2.00   -0.647   -0.760   -0.772   -0.799
 451    11500  2.50   -0.654   -0.761   -0.778   -0.806
 452    11500  3.00   -0.662   -0.763   -0.784   -0.811
 453    11500  3.50   -0.667   -0.766   -0.790   -0.815
 454    11500  4.00   -0.669   -0.767   -0.794   -0.817
 455    11500  4.50   -0.667   -0.766   -0.796   -0.817
 456    11500  5.00   -0.662   -0.763   -0.796   -0.815
 457    11750  2.00   -0.702   -0.825   -0.839   -0.868
 458    11750  2.50   -0.710   -0.825   -0.845   -0.874
 459    11750  3.00   -0.717   -0.828   -0.852   -0.880
 460    11750  3.50   -0.723   -0.831   -0.858   -0.884
 461    11750  4.00   -0.726   -0.833   -0.863   -0.887
 462    11750  4.50   -0.725   -0.833   -0.865   -0.888
 463    11750  5.00   -0.720   -0.831   -0.865   -0.886
 464    12000  2.50   -0.764   -0.889   -0.911   -0.942
 465    12000  3.00   -0.772   -0.892   -0.918   -0.948
 466    12000  3.50   -0.778   -0.895   -0.924   -0.952
 467    12000  4.00   -0.782   -0.897   -0.929   -0.956
 468    12000  4.50   -0.781   -0.898   -0.933   -0.957
 469    12000  5.00   -0.778   -0.897   -0.933   -0.957
 470    12250  2.50   -0.818   -0.951   -0.976   -1.008
 471    12250  3.00   -0.826   -0.954   -0.983   -1.014
 472    12250  3.50   -0.833   -0.958   -0.990   -1.019
 473    12250  4.00   -0.836   -0.961   -0.995   -1.023
 474    12250  4.50   -0.837   -0.962   -0.999   -1.025
 475    12250  5.00   -0.834   -0.961   -1.000   -1.025
 476    12500  2.50   -0.872   -1.013   -1.039   -1.073
 477    12500  3.00   -0.880   -1.016   -1.047   -1.080
 478    12500  3.50   -0.887   -1.020   -1.054   -1.085
 479    12500  4.00   -0.891   -1.023   -1.059   -1.089
 480    12500  4.50   -0.892   -1.024   -1.063   -1.091
 481    12500  5.00   -0.889   -1.024   -1.065   -1.092
 482    12750  2.50   -0.925   -1.073   -1.102   -1.137
 483    12750  3.00   -0.933   -1.077   -1.109   -1.144
 484    12750  3.50   -0.940   -1.081   -1.117   -1.149
 485    12750  4.00   -0.944   -1.084   -1.122   -1.154
 486    12750  4.50   -0.945   -1.086   -1.127   -1.156
 487    12750  5.00   -0.944   -1.086   -1.129   -1.158
 488    13000  2.50   -0.977   -1.132   -1.164   -1.200
 489    13000  3.00   -0.985   -1.137   -1.171   -1.207
 490    13000  3.50   -0.992   -1.141   -1.178   -1.213
 491    13000  4.00   -0.997   -1.144   -1.184   -1.217
 492    13000  4.50   -0.998   -1.146   -1.189   -1.220
 493    13000  5.00   -0.997   -1.147   -1.191   -1.222
 494    14000  2.00   -1.166   -1.356   -1.390   -1.431
 495    14000  2.50   -1.177   -1.360   -1.399   -1.441
 496    14000  3.00   -1.187   -1.366   -1.408   -1.449
 497    14000  3.50   -1.195   -1.370   -1.416   -1.455
 498    14000  4.00   -1.200   -1.374   -1.422   -1.460
